Week 1 8/23
Boys' Latin Charter,George Washington,1
Bensalem,Frankford,1
Erie,Roosevelt,1
Abington,Northeast,2
Mt. Lebanon,Gateway,2
Lebanon,Cedar Crest,2
Greensburg Salem,Hempfield Area,2
Kensington,Springfield Township,1
Central Bucks West,Hatboro-Horsham,1
Norristown,Upper Dublin,2
Central Dauphin East,Manheim Township,2
Conestoga,Owen J. Roberts,2
Cumberland Valley,Bishop McDevitt,1
Parkland,Northampton,1
Archbishop Carroll,Haverford,1
Altoona,Hollidaysburg,2
Harrisburg,Coatesville,1
Downingtown East,Archbishop Ryan,1
Penn Hills,Pine-Richland,2
Hazleton,Pottsville,2
Mechanicsburg,Calisle,2
Plymouth Whitemarsh,William Tennent,1
Central Bucks South,Spring-Ford,1
Freedom,East Stroudsburg North,1
Pennsbury,Academy Park,2
Nehaminy,North Penn,2
Boyertown,Upper Perkiomen,1
State College,Mifflin County,1
Seneca Valley,McDowell,2
MBAPC (CO-OP),Upper Darby,1
Dallastown,Hempfield,2
Central Bucks East,Quakertown,1
Cheltenham,Council Rock South,1
Pleasant Valley,Liberty,2
York County Tech,James Buchanan,2
Council Rock North,East,2
Williamsport,Central Mountain,1
Pocono Mountain East,Nazareth,2
Penn Manor,Conestoga Valley,1
Wyoming Valley West,Scranton,1
Central Dauphin,Wilson,2
Red Lion,J.P. McCaskey,1
Greencastle-Antrim,Chambersburg,2
Taylor Allderdice,Kiski Area,2
Canon-McMillan,Thomas Jefferson,2
Ridley,Cooper City,1
North Allegheny,Friendship Collegiate Academy,1
Norwin,Penn-Trafford,2
William Penn,Central Catholic,2
Olney,Harry S. Truman,2
Pennridge,Delaware Valley,1
Emmaus,William Allen,1
Bishop McDevitt,Central,1
Perkiomen Valley,Avon Grove,1
Central York,West York Area,1
Methacton,Harriton,1
Reading,Kutztown,1
North Hills,Butler,1
Pottsgrove,Souderton,2

Week 1 8/24
West Philadelphia,Chester,2
Louis E. Dieruff,Bethelhem Catholic,2
Lansdale Catholic,Father Judge,1
Roman Catholic,Pope John Paul II,1
La Salle College,Imhotep Charter,1
Easton Area,Pocono Mountain West,1
Garnet Valley,Downingtown West,2
Stroudsburg,Allentown,2

Week 2 8/29
MCNP,Abington,2
Avon Grove,MBAPC (CO-OP),2
Taylor Alderdice,Steubenville,2
Central,Upper Dublin,2
Lower Dauphin,Central Dauphin East,2

Week 2 8/30
Abraham Lincoln,South Philadelphia/Furness,1
Olney,Samuel Fels,1
Northeast,Haverford School,1
Father Judge,SCHA,2
St. Augustine Prep,State College,2
Jules E. Mastbaum Vo Tech,Bensalem,2
Kensington,West Philadelphia,1
Northampton,Louis E. Dieruff,1
Bethelhem Catholic,Freedom,2
Pine-Richland,Hempfield Area,1
Daniel Boone,Owen J. Roberts,2
Souderton,Quakertown,1
Downingtown West,Central Bucks South,1
McDowell,Boardman,1
Pocono Mountain,East Stroudsburg,2
La Salle College,North Penn,1
Austintown Fitch,Erie,1
Scranton,Wilkes-Barre,2
Northeastern,Carlisle,1
Downingtown East,Perkiomen Valley,1
Wilson,Governor Mifflin,1
Penn Manor,Lampeter Strasburg,2
St. Josephs Prep,Marietta,2
Delaware Valley,West Scranton,1
Chambersburg,South Western,1
Upper Darby, Conestoga,1
Berks Catholic,Central Dauphin,2
Mifflin County,Hollidaysburg,2
Council Rock North,Wissahickon,1
William Allen,Pleasant Valley,1
Nazareth,Emmaus,1
Manheim Township,Dallastown,1
East Stroudsburg North,Stroudsburg,2
Mt. Lebanon,Canon-McMillan,1
Eastern Lebanon County,Lebanon,2
Exeter Township,Boyertown,1
Altoona,Williamsport,2
Whitehall,Easton Area,2
Chester,Sun Valley,1
Norristown,Upper Merion Area,2
Pennridge,Neshaminy,2
Penn Wood,Pennsbury,1
Haverford,Garnet Valley,2
Allenown Central Catholic,Parkland,2
Red Lion,Waynesboro,1
Methacton,Plymouth Whitemarsh,2
Hazleton,Wyoming Valley West,1
Liberty,Poco
